,pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,lon,lat
1294,2015009591.0,1.0,1.0,2.0,4000.0,548.0,,38.0,,,,,,11.0,2015.0,6.0,78.0,4.0,1.0,6.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,197929.0,748302.0,34.97453207018061,32.82925117552145
1301,2015009629.0,1.0,1.0,1.0,4000.0,195.0,,,,,,,,11.0,2015.0,8.0,78.0,4.0,5.0,5.0,3.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,9.0,9.0,7.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,205213.0,745241.0,35.05237099796988,32.80176914862441
1314,2015009737.0,1.0,1.0,1.0,4000.0,917.0,643.0,,18380370.0,,,,,11.0,2015.0,8.0,73.0,4.0,1.0,3.0,3.0,5.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199152.0,744880.0,34.9876683942087,32.79841877019931
1346,2015010017.0,1.0,1.0,2.0,4000.0,1084.0,,9999.0,,,,,,11.0,2015.0,11.0,85.0,4.0,5.0,1.0,3.0,2.0,0.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,201325.0,743768.0,35.01088934979739,32.78842997082233
1385,2015010328.0,1.0,1.0,1.0,4000.0,564.0,974.0,,17940431.0,,,,,11.0,2015.0,2.0,25.0,4.0,5.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,5.0,3.0,6.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,196766.0,743985.0,34.96221706986305,32.79030198937315
1392,2015010406.0,1.0,1.0,1.0,4000.0,215.0,162.0,,16500131.0,,,,,11.0,2015.0,8.0,29.0,4.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,206874.0,747417.0,35.07007526116128,32.82141021475525
1418,2015010631.0,1.0,1.0,1.0,4000.0,129.0,257.0,,18380037.0,,,,,11.0,2015.0,4.0,56.0,4.0,1.0,5.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,206710.0,749513.0,35.068295088990695,32.84030770243815
1495,2015011185.0,1.0,1.0,1.0,4000.0,389.0,386.0,,11040231.0,,,,,11.0,2015.0,11.0,89.0,4.0,5.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199852.0,746946.0,34.99509802348136,32.81706035048571
1496,2015011189.0,1.0,1.0,2.0,4000.0,526.0,,13.0,,,,,,11.0,2015.0,5.0,57.0,4.0,1.0,5.0,3.0,1.0,0.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,198858.0,748582.0,34.984447385642994,32.831793717591616
1497,2015011190.0,1.0,1.0,2.0,4000.0,1096.0,,1.0,,,,,,11.0,2015.0,5.0,30.0,4.0,1.0,7.0,3.0,7.0,3.0,0.0,1.0,1.0,2.0,3.0,11.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,201070.0,742328.0,35.00819574212966,32.775441367437686
